chr,start,end,methylation_level
1,135124,135563,0.7894736842105262
1,778604,779167,0.0
1,904314,905239,0.0
1,908919,910503,0.30320370900504573
1,919385,919593,0.6722990271377368
1,923590,926252,0.0206563013136289
1,940225,942983,0.027628532218495493
1,950976,951222,1.0
1,958933,967274,0.5433557546184946
1,976046,979425,0.9472059779077324
1,984346,984547,0.0
1,998007,1002030,0.048825439266615735
1,1013949,1014471,0.8562539111452155
1,1019388,1020963,0.0
1,1028415,1029127,1.0
1,1032586,1034858,0.12483032151747085
1,1040116,1044925,0.6854286355938655
1,1045688,1046020,0.8819319569319569
1,1046772,1047131,0.9707482993197278
1,1047794,1048232,0.972660765160765
1,1054894,1055314,0.9886363636363636
1,1056298,1056699,1.0
1,1059056,1059923,0.0899621212121212
1,1064298,1064531,0.0
1,1067283,1069938,0.20134215285846238
1,1076129,1078022,0.9931972789115647
1,1081483,1082059,0.9629163879598662
1,1082719,1083010,0.9809368191721132
1,1084438,1084646,1.0
1,1087763,1087967,0.5107142857142857
1,1088695,1089234,1.0
1,1090997,1091245,0.9444220068481288
1,1092129,1092350,0.9595959595959597
1,1110664,1110960,0.9772727272727272
1,1115135,1117065,0.003179458551213967
1,1136989,1137467,0.00223214285714285
1,1157831,1158096,0.016666666666666666
1,1162663,1165204,0.7068101881901085
1,1173934,1174765,0.4995359900806827
1,1197447,1197838,0.8854497354497355
1,1200980,1201776,0.0
1,1206290,1206770,0.08571428571428572
1,1210188,1210498,0.825091575091575
1,1211328,1211534,0.9892086963760911
1,1213675,1214144,0.24708624708624705
1,1217142,1217754,0.9986723505016187
1,1218404,1219039,0.984375
1,1226579,1226901,0.8099455835529206
1,1231621,1233605,0.3595488873436237
1,1246376,1247090,0.09306066482537069
1,1254016,1254865,1.0
1,1255142,1255419,0.9615384615384617
1,1258981,1259378,0.9678571428571429
1,1267786,1268084,0.9885057471264368
1,1273135,1274437,0.002503818021059397
1,1286017,1294783,0.7761131796053976
