chr,start,end,Unnamed: 0,AA_x,AT_x,AG_x,AC_x,TA_x,TT_x,TG_x,TC_x,GA_x,GT_x,GG_x,GC_x,CA_x,CT_x,CG_x,CC_x,AA_y,AT_y,AG_y,AC_y,TA_y,TT_y,TG_y,TC_y,GA_y,GT_y,GG_y,GC_y,CA_y,CT_y,CG_y,CC_y
1,135124,135563,5.0,15.0,3.0,53.0,14.0,2.0,13.0,33.0,11.0,52.0,9.0,64.0,54.0,16.0,34.0,30.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,368792,370063,6.0,54.0,24.0,56.0,140.0,2.0,0.0,111.0,108.0,54.0,89.0,106.0,122.0,164.0,108.0,99.0,33.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0
1,491107,491546,7.0,15.0,3.0,54.0,13.0,2.0,13.0,33.0,11.0,52.0,9.0,65.0,54.0,16.0,34.0,29.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
1,597839,598734,8.0,38.0,1.0,38.0,96.0,0.0,0.0,76.0,76.0,38.0,75.0,76.0,94.0,97.0,76.0,94.0,19.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,4.0,3.0,2.0,7.0,0.0
1,609358,611269,9.0,4.0,29.0,186.0,43.0,3.0,31.0,134.0,76.0,100.0,66.0,302.0,324.0,155.0,118.0,171.0,168.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,778604,779167,10.0,16.0,10.0,34.0,33.0,12.0,10.0,33.0,30.0,26.0,23.0,51.0,77.0,39.0,42.0,60.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,827036,828065,11.0,31.0,12.0,74.0,45.0,12.0,24.0,57.0,46.0,78.0,55.0,178.0,119.0,41.0,48.0,122.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,853483,853831,12.0,28.0,23.0,7.0,35.0,7.0,0.0,54.0,2.0,54.0,26.0,7.0,8.0,4.0,14.0,28.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1,866595,866958,13.0,0.0,7.0,5.0,29.0,0.0,0.0,24.0,55.0,12.0,25.0,7.0,15.0,29.0,47.0,24.0,83.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,5.0
1,869818,870248,14.0,3.0,7.0,19.0,18.0,6.0,14.0,27.0,20.0,14.0,16.0,50.0,65.0,24.0,30.0,50.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,904314,905239,15.0,31.0,4.0,35.0,36.0,0.0,17.0,37.0,72.0,41.0,42.0,133.0,107.0,34.0,63.0,119.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
